SampleID for each row in the figure:
Row	1-layer-clusterID	SampleID
624	12	11860_7_36
625	12	11860_7_45
626	12	11860_8_29
627	12	11860_8_91
628	12	11861_1_68
629	12	11861_2_13
630	12	11861_2_18
631	12	11861_3_23
632	12	11861_4_61
633	12	11861_4_66
634	12	11861_4_79
635	12	11861_4_82
636	12	11861_5_10
637	12	11861_5_49
638	12	11861_5_71
639	12	12045_8_81
640	12	14412_3_50
641	13	11822_8_48
642	13	11860_5_2
643	13	11860_7_90
644	13	11861_2_83
645	13	11861_3_70
646	13	11861_3_78
647	13	11861_5_41
648	13	11861_5_74
649	13	11893_1_44
650	13	11893_1_67
651	13	12673_6_13
652	13	12673_6_43
653	13	11860_4_19
654	13	11860_4_56
655	13	11860_4_7
656	13	11860_5_23
657	13	11860_6_1
658	13	11860_6_20
659	13	11860_6_35
660	13	11860_6_46
661	13	11860_7_91
662	13	11860_8_42
663	13	11861_2_54
664	13	11861_3_25
665	13	11861_4_67
666	13	11861_5_5
667	13	11893_1_29
668	13	11893_1_35
669	13	14412_3_3
670	13	14412_3_74
671	14	11860_4_38
672	14	11860_4_50
673	14	11860_4_58
674	14	11860_4_65
675	14	11860_5_11
676	14	11860_5_12
677	14	11860_5_14
678	14	11860_5_15
679	14	11860_5_60
680	14	11860_5_68
681	14	11860_5_7
682	14	11860_5_70
683	14	11860_5_71
684	14	11860_5_89
685	14	11860_6_3
686	14	11860_6_33
687	14	11860_6_40
688	14	11860_6_44
689	14	11860_6_81
690	14	11860_7_81
691	14	11860_8_5
692	14	11860_8_60
693	14	11860_8_94
694	14	11861_1_10
695	14	11861_1_23
696	14	11861_1_27
697	14	11861_1_44
698	14	11861_1_70
699	14	11861_1_76
700	14	11861_2_27
701	14	11861_2_28
702	14	11861_2_55
703	14	11861_2_65
704	14	11861_2_70
705	14	11861_2_84
706	14	11861_3_10
707	14	11861_3_15
708	14	11861_3_24
709	14	11861_3_55
710	14	11861_3_68
711	14	11861_3_7
712	14	11861_3_90
713	14	11861_3_92
714	14	11861_4_23
715	14	11861_4_5
716	14	11861_4_68
717	14	11861_4_69
718	14	11861_4_7
719	14	11861_4_75
720	14	11861_5_3
721	14	11861_5_38
722	14	11861_5_56
723	14	11861_5_90
724	14	11893_1_20
725	14	12045_8_79
726	14	12673_6_15
727	14	12673_6_25
728	14	12673_6_27
729	14	12673_6_50
730	14	12673_6_9
731	14	12754_4_60
732	14	12754_4_65
733	14	14412_3_71
734	14	11822_8_49
735	14	11860_4_14
736	14	11860_5_25
737	14	11860_5_49
738	14	11860_5_72
739	14	11860_5_96
740	14	11860_6_77
741	14	11860_7_6
742	14	11860_8_32
743	14	11860_8_37
744	14	11861_2_5
745	14	11861_2_53
746	14	11861_2_57
747	14	11861_3_39
748	14	11861_3_47
749	14	11861_3_48
750	14	11861_3_69
751	14	11861_4_28
752	14	11861_4_52
753	14	11861_5_9
754	14	12216_4_95
755	14	14355_8_80
756	14	11860_5_27
757	14	11860_6_71
758	14	11860_6_93
759	14	11861_1_54
